"sku","qty"
"MFS-0321",14
"MFS-0003",0
"MFS-0004",0
"MFS-0005",0
"MFS-0006",0
"MFS-0007",0
"MFS-0008",21
"MFS-0320",0
"MFS-0009",52
"MFS-0010",0
"MFS-0011",45
"MFS-0013",16
"MFS-0014",64
"MFS-0015",23
"MFS-0016",26
"MFS-0017",16
"MFS-0018",0
"MFS-0019",0
"MFS-0020",0
"MFS-0021",34
"MFS-0022",0
"MFS-0023",0
"MFS-0024",0
"MFS-0025",24
"MFS-0026",0
"MFS-0027",54
"MFS-0028",28
"MFS-0029",0
"MFS-0030",0
"MFS-0031",0
"MFS-0032",7
"MFS-0033",0
"MFS-0034",0
"MFS-0035",0
"MFS-0301",21
"MFS-0037",9
"MFS-0038",0
"MFS-0040",14
"MFS-0041",0
"MFS-0042",0
"MFS-0043",0
"MFS-0044",0
"MFS-0045",0
"MFS-0302",0
"MFS-0303",0
"MFS-0304",0
"MFS-0305",0
"MFS-0050",28
"MFS-0051",19
"MFS-0054",31
"MFS-0055",0
"MFS-0056",0
"MFS-0057",34
"MFS-0058",10
"MFS-0059",10
"MFS-0060",0
"MFS-0061",0
"MFS-0062",0
"MFS-0063",22
"MFS-0064",29
"MFS-0065",10
"MFS-0307",57
"MFS-0067",20
"MFS-0308",28
"MFS-0309",0
"MFS-0311",0
"MFS-0310",0
"MFS-0312",14
"MFS-0313",0
"MFS-0315",0
"MFS-0314",33
"MFS-0316",12
"MFS-0317",29
"MFS-0078",0
"MFS-0079",0
"MFS-0080",21
"MFS-0081",0
"MFS-0082",64
"MFS-0083",30
"MFS-0084",60
"MFS-0085",15
"MFS-0086",0
"MFS-0087",53
"MFS-0088",0
"MFS-0089",0
"MFS-0090",0
"MFS-0091",74
"MFS-0092",20
"MFS-0093",54
"MFS-0094",0
"MFS-0318",68
"MFS-0096",9
"MFS-0097",46
"MFS-0098",9
"MFS-0099",0
"MFS-0100",100
"MFS-0101",0
"MFS-0319",0
"MFS-0103",0
"MFS-0104",80
"MFS-0105",0
"MFS-0106",35
"MFS-0107",0
"MFS-0108",0
"MFS-0109",76
"MFS-0110",25
"MFS-0111",0
"MFS-0112",0
"MFS-0113",138
"MFS-0114",0
"MFS-0115",0
"MFS-0116",0
"MFS-0117",0
"MFS-0119",9
"MFS-0118",108
"MFS-0120",13
"MFS-0121",15
"MFS-0122",0
"MFS-0123",18
"MFS-0124",19
"MFS-0125",77
"MFS-0126",0
"MFS-0127",0
"MFS-0128",0
"MFS-0129",0
"MFS-0130",0
"MFS-0131",8
"MFS-0132",0
"MFS-0133",11
"MFS-0134",0
"MFS-0135",28
"MFS-0136",0
"MFS-0137",42
"MFS-0138",0
"MFS-0300",48
"MFS-0140",154
"MFS-0141",154
"MFS-0142",0
"MFS-0143",92
"MFS-0144",19
"MFS-0145",0
"MFS-0146",18
"MFS-0147",12
"MFS-0148",0
"MFS-0149",12
"MFS-0150",39
"MFS-0151",0
"MFS-0243",85
"MFS-0244",9
"MFS-0245",14
"MFS-0246",0
"MFS-0247",33
"MFS-0248",0
"MFS-0249",24
"MFS-0250",0
"MFS-0251",14
"MFS-0252",23
"MFS-0253",0
"MFS-0254",29
"MFS-0321",100
"MFS-0322",100
"MFS-0003",100
"MFS-0004",100
"MFS-0005",100
"MFS-0006",100
"MFS-0007",100
"MFS-0008",100
"MFS-0320",100
"MFS-0009",100
"MFS-0010",100
"MFS-0011",100
"MFS-0012",100
"MFS-0013",100
"MFS-0014",100
"MFS-0015",100
"MFS-0016",100
"MFS-0017",98
"MFS-0018",100
"MFS-0019",100
"MFS-0020",100
"MFS-0021",100
"MFS-0022",100
"MFS-0023",100
"MFS-0024",100
"MFS-0025",100
"MFS-0026",100
"MFS-0027",100
"MFS-0028",100
"MFS-0029",100
"MFS-0030",100
"MFS-0031",100
"MFS-0032",100
"MFS-0033",100
"MFS-0034",100
"MFS-0035",100
"MFS-0301",100
"MFS-0037",100
"MFS-0038",100
"MFS-0039",100
"MFS-0040",100
"MFS-0041",100
"MFS-0042",100
"MFS-0043",100
"MFS-0044",100
"MFS-0045",100
"MFS-0302",100
"MFS-0303",100
"MFS-0304",100
"MFS-0305",100
"MFS-0050",100
"MFS-0051",100
"MFS-0052",100
"MFS-0306",100
"MFS-0054",100
"MFS-0055",100
"MFS-0056",100
"MFS-0057",100
"MFS-0058",100
"MFS-0059",100
"MFS-0060",100
"MFS-0061",100
"MFS-0062",100
"MFS-0063",100
"MFS-0064",100
"MFS-0065",100
"MFS-0307",100
"MFS-0067",100
"MFS-0308",100
"MFS-0309",100
"MFS-0311",100
"MFS-0310",100
"MFS-0312",100
"MFS-0313",100
"MFS-0315",100
"MFS-0314",100
"MFS-0316",100
"MFS-0317",100
"MFS-0078",100
"MFS-0079",100
"MFS-0080",100
"MFS-0081",100
"MFS-0082",100
"MFS-0083",100
"MFS-0084",100
"MFS-0085",100
"MFS-0086",100
"MFS-0087",100
"MFS-0088",100
"MFS-0089",100
"MFS-0090",100
"MFS-0091",100
